Process2,Time
182,1.1018
183,0.884237
184,1.009042
185,0.770966
186,1.307968
187,0.866841
188,0.816702
189,0.807727
190,0.742643
191,0.902954
192,1.085104
193,0.995522
194,1.475857
195,0.95177
196,0.964047
197,0.834772
198,1.567063
199,0.62212
200,1.00946
201,0.876957
202,1.006063
203,1.244109
204,1.05834
205,1.009152
206,0.752309
207,1.526581
208,2.939013
209,1.005778
210,0.891631
211,1.37022
212,0.695468
213,0.95301
214,0.98692
215,1.070264
216,0.934793
217,1.193607
218,0.893977
219,0.807652
220,0.98358
221,1.136527
222,0.717088
223,0.827154
224,2.104044
225,0.745627
226,0.77386
227,0.764361
228,0.889223
229,1.651074
230,1.221903
231,1.590789
232,4.381441
233,0.848066
234,1.078843
235,1.561885
236,1.066675
237,1.340618
238,1.293155
239,0.987825
240,0.750851
241,0.91561
242,0.947633
243,0.932509
244,0.831878
245,0.85876
246,0.610475
247,0.642227
248,1.285916
249,0.902812
250,1.284617
251,0.767096
252,0.803156
253,1.155463
254,0.502779
255,0.639616
256,0.563997
257,0.77087
258,0.629403
259,0.632132
260,0.890745
261,0.824954
262,0.838719
263,0.709899
264,0.810589
265,0.696184
266,0.708633
267,0.813588
268,0.729212
269,0.761379
270,0.853791
271,0.744588
272,0.666393
273,1.188442
274,0.915954
275,0.717019
276,0.685191
277,0.612983
278,1.055608
279,0.868846
280,1.119122
281,0.858887
282,0.728603
283,0.816431
284,0.868004
285,0.992482
286,1.050157
287,0.669072
288,1.029166
289,1.599476
290,1.328083
291,1.205214
292,0.873668
293,0.837289
294,0.761893
295,0.620747
296,0.447608
297,0.84539
298,0.666419
299,0.669243
300,0.685679
301,0.91489
302,0.824655
303,0.819829
304,0.775304
305,0.761343
306,1.110164
307,0.921621
308,0.612876
309,2.277607
310,0.833438
311,1.110148
312,1.053788
313,0.917323
314,0.795837
315,0.693048
316,1.068615
317,1.16268
318,1.410951
319,1.085614
320,1.220752
321,1.209125
322,0.868984
323,0.60474
324,0.583844
325,1.05721
326,1.012153
327,4.510082
328,1.201704
329,0.959066
330,0.817837
331,0.732701
332,0.568114
333,1.317219
334,0.835462
335,0.606532
336,1.352027
337,1.156675
338,0.82616
339,0.639564
340,0.819235
341,0.661051
342,0.650272
343,0.76189
344,1.21121
345,0.617415
346,1.582575
347,0.694936
348,0.769106
349,0.906183
350,1.07579
351,1.812044
352,1.045084
353,0.674362
354,0.700732
355,0.762672
356,0.631046
357,1.40533
358,1.007774
359,0.77848
360,0.644152
361,0.829621
362,0.757361
363,0.73149
364,0.821094
365,0.839776
366,0.904276
367,0.646519
368,0.862317
369,0.647834
370,0.634263
371,0.592775
372,1.192165
373,0.975677
374,0.721468
375,1.67329
376,0.597987
377,0.628476
378,1.554412
379,2.241389
380,1.269122
381,1.353307
382,1.010149
383,0.977425
384,1.579203
385,0.969323
386,1.078562
387,1.089427
388,0.744933
389,0.879423
390,0.79241
391,0.947037
392,0.969252
393,0.875208
394,1.177195
395,0.600016
396,0.804942
397,0.598799
398,0.653432
399,0.700913
400,0.6785
401,0.583798
402,0.918071
403,0.880635
404,0.786263
405,0.652153
406,0.614344
407,0.683667
408,0.945705
409,0.765302
410,0.822409
411,0.824115
412,0.909397
413,1.075346
414,0.79886
415,0.842442
416,0.942635
417,0.990536
418,0.7176
419,1.016801
420,1.054389
421,0.852394
422,0.951196
423,0.798054
424,0.914284
425,0.741627
426,0.761713
427,1.109052
428,1.504822
429,1.032855
430,1.968346
431,1.459002
432,0.927844
433,1.325448
434,1.143152
435,1.984696
436,0.977346
437,0.826667
438,1.670923
439,1.353111
440,10.147106
441,1.394236
442,1.3038
443,1.401662
444,1.159703
445,1.513105
446,1.023566
447,1.26466
448,1.341558
449,0.792692
450,0.78683
451,0.717777
452,1.044107
453,1.429793
454,1.648022
455,0.808043
456,0.906657
457,0.910853
458,0.767572
459,0.887195
460,0.688672
461,0.713762
462,0.877535
463,0.747089
464,1.02635
465,0.645829
466,0.845243
467,0.561166
468,1.274353
469,1.226774
470,0.806986
471,0.632605
472,1.232593
473,0.913981
474,0.815511
475,0.774135
476,0.725895
477,0.651128
478,1.655842
479,0.563417
480,0.899172
481,1.825692
482,1.290421
483,1.243554
484,1.42388
485,1.338918
486,4.606905
487,1.676709
488,1.806669
489,0.786308
490,0.658226
491,1.386007
492,1.211464
493,0.905511
494,0.926491
495,0.625594
496,0.569002
497,0.590806
498,0.486545
499,0.581733
500,0.666804
501,0.848586
502,1.069999
503,1.637278
504,1.005194
505,1.263559
